sample_idx,original_id,shuffled_id,population,category,A,N,seed,original_multiset_sha,shuffled_multiset_sha,first5_orig,first5_shuf
18,A266716_a3,A266716_a3_shuf,S1,oeis_cellular,3,86,10533447707504009120,e3b3d9e8ac6b4da5,e3b3d9e8ac6b4da5,1 1 0 1 0,1 1 0 0 1
19,A266786_a2,A266786_a2_shuf,S1,oeis_cellular,2,86,9737381838723818768,e3b3d9e8ac6b4da5,e3b3d9e8ac6b4da5,1 0 1 1 0,0 1 1 1 0
20,A267015_a2,A267015_a2_shuf,S1,oeis_cellular,2,86,11854044930686117776,004a33bcafd87bb4,004a33bcafd87bb4,1 1 0 1 0,0 1 1 0 1
21,A267463_a3,A267463_a3_shuf,S1,oeis_cellular,3,86,7149214325103165654,93f23ef83e08f4e6,93f23ef83e08f4e6,1 0 0 0 0,1 0 0 1 1
22,A267576_a2,A267576_a2_shuf,S1,oeis_cellular,2,86,12960493142200746138,b3a7adc9f1396dd1,b3a7adc9f1396dd1,1 1 1 0 1,1 0 0 1 0
23,A267870_a3,A267870_a3_shuf,S1,oeis_cellular,3,86,11810419884519417011,03da2222899aeecf,03da2222899aeecf,1 0 1 0 1,1 1 1 1 1
24,A277799_a2,A277799_a2_shuf,S1,oeis_cellular,2,43,11488254072411051258,a6687f3db38ca20b,a6687f3db38ca20b,1 0 1 0 1,1 0 0 1 1
25,A299477_a3,A299477_a3_shuf,S1,oeis_cellular,3,49,8231270387255270838,9ee129f156d7b5ba,9ee129f156d7b5ba,1 2 1 0 2,2 0 0 1 1
26,A334496_a2,A334496_a2_shuf,S1,oeis_cellular,2,42,10594507033392050583,2c6e14e2e98d053e,2c6e14e2e98d053e,1 1 1 0 1,1 0 1 0 0
27,A334499_a2,A334499_a2_shuf,S1,oeis_cellular,2,40,4036982768420909869,8881c033bdab369e,8881c033bdab369e,0 0 0 0 0,1 0 1 0 0
28,collatz_k11_c3_b3,collatz_k11_c3_b3_shuf,S1,collatz_grid,3,200,14310068206120188140,8b9bce411d6fc8eb,8b9bce411d6fc8eb,0 1 0 2 0,0 0 0 0 0
29,collatz_k11_c7_b2,collatz_k11_c7_b2_shuf,S1,collatz_grid,2,200,17356104816657076728,9dca7ce44ceaaca4,9dca7ce44ceaaca4,0 1 0 0 0,0 0 0 0 0
30,collatz_k3_c3_b2,collatz_k3_c3_b2_shuf,S1,collatz_grid,2,200,2892488681001420868,1f4f9b974a866fa0,1f4f9b974a866fa0,0 1 0 0 0,0 0 0 0 0
31,collatz_k5_c1_b2,collatz_k5_c1_b2_shuf,S1,collatz_grid,2,200,10679055358161975018,8580b7630b06be28,8580b7630b06be28,0 1 1 0 0,0 0 0 0 0
32,collatz_k5_c1_b3,collatz_k5_c1_b3_shuf,S1,collatz_grid,3,200,15334456089088176986,c1b3ea8d06084935,c1b3ea8d06084935,0 1 2 2 1,0 0 0 1 1
33,collatz_k5_c3_b2,collatz_k5_c3_b2_shuf,S1,collatz_grid,2,200,17363598142720180746,9dca7ce44ceaaca4,9dca7ce44ceaaca4,0 1 0 0 0,0 0 0 0 0
34,collatz_k5_c3_b3,collatz_k5_c3_b3_shuf,S1,collatz_grid,3,200,16178755154020860349,571bacc17fdbe810,571bacc17fdbe810,0 1 1 2 0,0 0 0 0 0
35,collatz_k9_c5_b4,collatz_k9_c5_b4_shuf,S1,collatz_grid,4,200,4851428508829848952,e39ed0be370fc3ed,e39ed0be370fc3ed,0 1 2 2 0,0 0 0 0 0
36,collatz_k9_c7_b4,collatz_k9_c7_b4_shuf,S1,collatz_grid,4,200,17702610290085311040,8990b19e78c6f830,8990b19e78c6f830,0 1 0 2 0,0 0 0 0 0
37,eca_015,eca_015_shuf,S2,eca256,2,500,467836260061338068,1729ce92c1f03d13,1729ce92c1f03d13,1 1 0 1 0,1 1 1 1 0
38,eca_027,eca_027_shuf,S2,eca256,2,500,15240858462306978958,f64da1c142bddcd2,f64da1c142bddcd2,1 0 0 1 0,1 1 1 0 0
39,eca_030,eca_030_shuf,S2,eca256,2,500,10478679662539196811,0dec1d466697dca2,0dec1d466697dca2,1 1 0 1 1,1 0 0 0 0
40,eca_032,eca_032_shuf,S2,eca256,2,500,15226692497129403917,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
41,eca_047,eca_047_shuf,S2,eca256,2,500,12104904288725504035,1729ce92c1f03d13,1729ce92c1f03d13,1 1 0 1 0,1 1 1 1 1
42,eca_048,eca_048_shuf,S2,eca256,2,500,15966811456268520901,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
43,eca_064,eca_064_shuf,S2,eca256,2,500,630770413111566650,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
44,eca_084,eca_084_shuf,S2,eca256,2,500,9312828669196561782,697a1466698e4d1b,697a1466698e4d1b,1 1 0 0 0,0 0 0 0 0
45,eca_088,eca_088_shuf,S2,eca256,2,500,257378015383283177,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
46,eca_107,eca_107_shuf,S2,eca256,2,500,10232941147903451796,0326f5fef3e717c1,0326f5fef3e717c1,1 0 0 1 1,0 0 1 0 1
47,eca_109,eca_109_shuf,S2,eca256,2,500,12117584983558086435,93b34a6c275d29ea,93b34a6c275d29ea,1 1 1 0 1,0 1 1 1 1
48,eca_111,eca_111_shuf,S2,eca256,2,500,9484736042119268095,39d99fbaeb2c6c35,39d99fbaeb2c6c35,1 1 1 1 1,1 1 1 1 1
49,eca_114,eca_114_shuf,S2,eca256,2,500,2628383213321477117,f64da1c142bddcd2,f64da1c142bddcd2,1 0 1 0 1,1 1 0 0 1
50,eca_120,eca_120_shuf,S2,eca256,2,500,2562672194042770030,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
51,eca_134,eca_134_shuf,S2,eca256,2,500,4463147190706765807,697a1466698e4d1b,697a1466698e4d1b,1 1 0 0 0,0 0 0 0 0
52,eca_145,eca_145_shuf,S2,eca256,2,500,14850032159984654819,1c3f516659589b12,1c3f516659589b12,1 0 0 1 0,0 1 0 0 0
53,eca_174,eca_174_shuf,S2,eca256,2,500,7367794257451357408,697a1466698e4d1b,697a1466698e4d1b,1 1 0 0 0,0 0 0 0 0
54,eca_200,eca_200_shuf,S2,eca256,2,500,17800185070985002105,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
55,eca_241,eca_241_shuf,S2,eca256,2,500,17574421665121918251,32589b87c33b18ad,32589b87c33b18ad,1 0 0 1 1,1 1 1 1 1
56,eca_250,eca_250_shuf,S2,eca256,2,500,16704273241089847933,f64da1c142bddcd2,f64da1c142bddcd2,1 0 1 0 1,0 1 0 1 1
57,A000002_a3,A000002_a3_shuf,S3,oeis_core,3,108,4498727952449902630,4b02b6fb26002c5f,4b02b6fb26002c5f,1 2 2 1 1,1 2 2 2 1
58,A000120_a7,A000120_a7_shuf,S3,oeis_core,7,105,14722795200430818796,f809ccecf1ca9472,f809ccecf1ca9472,0 1 1 2 1,4 3 1 1 4
59,A000203_a5,A000203_a5_shuf,S3,oeis_core,5,70,10954184504404266474,145ad446a8905425,145ad446a8905425,1 3 4 2 1,3 4 2 2 0
60,A000217_a5,A000217_a5_shuf,S3,oeis_core,5,54,4095051682990031460,1363aa8678597065,1363aa8678597065,0 1 3 1 0,0 1 3 1 0
61,A000290_a5,A000290_a5_shuf,S3,oeis_core,5,51,14465224123001114634,0df911406697cf86,0df911406697cf86,0 1 4 4 1,4 4 4 0 1
62,A000326_a7,A000326_a7_shuf,S3,oeis_core,7,47,9867907290205921181,2d1d170b2abbd150,2d1d170b2abbd150,0 1 5 5 1,5 1 2 0 2
63,A000796_a3,A000796_a3_shuf,S3,oeis_core,3,105,6837635938112456315,75e35f30992efb6b,75e35f30992efb6b,0 1 1 1 2,0 1 0 0 0
64,A000961_a4,A000961_a4_shuf,S3,oeis_core,4,64,7063565993163818784,417aafd88a3dc898,417aafd88a3dc898,1 2 3 0 1,1 1 1 1 1
65,A001055_a4,A001055_a4_shuf,S3,oeis_core,4,103,11026409406840450147,fb00f4382daa8efd,fb00f4382daa8efd,1 1 1 2 1,2 3 2 1 2
66,A001065_a7,A001065_a7_shuf,S3,oeis_core,7,80,6607825996231123780,8a92053902dff57a,8a92053902dff57a,0 1 1 3 1,0 1 0 6 2
67,A001113_a2,A001113_a2_shuf,S3,oeis_core,2,105,10507582671516556160,ab84810cb141ea5b,ab84810cb141ea5b,0 1 1 0 0,1 1 0 1 1
68,A001157_a5,A001157_a5_shuf,S3,oeis_core,5,50,5520145023454167248,c937e9566d564a8c,c937e9566d564a8c,1 0 0 1 1,0 1 0 2 0
69,A001227_a4,A001227_a4_shuf,S3,oeis_core,4,105,8505997488240922966,0171f721575f640c,0171f721575f640c,1 1 2 1 2,2 2 2 2 0
70,A001358_a3,A001358_a3_shuf,S3,oeis_core,3,61,2423371137988324533,e524f9a0fa71073a,e524f9a0fa71073a,1 0 0 1 2,2 1 1 0 1
71,A001477_a7,A001477_a7_shuf,S3,oeis_core,7,78,3152664071715221722,aa8acbc58de30192,aa8acbc58de30192,0 1 2 3 4,4 0 2 0 5
72,A001481_a3,A001481_a3_shuf,S3,oeis_core,3,66,8229187868090384472,349d6e4ab8680f7b,349d6e4ab8680f7b,0 1 2 1 2,2 2 0 1 0
73,A001481_a7,A001481_a7_shuf,S3,oeis_core,7,66,18242930637346037975,2c6735d5a1086874,2c6735d5a1086874,0 1 2 4 5,4 1 2 5 4
74,A001622_a5,A001622_a5_shuf,S3,oeis_core,5,105,5963798298042821355,6b245e3433662a68,6b245e3433662a68,1 1 1 3 0,2 3 2 4 3
75,A001969_a3,A001969_a3_shuf,S3,oeis_core,3,65,9989792987723914183,22d1dc4777bdf220,22d1dc4777bdf220,0 0 2 0 0,2 2 2 1 0
76,A002113_a2,A002113_a2_shuf,S3,oeis_core,2,61,11956104327955482838,fbe3be95cf711d40,fbe3be95cf711d40,0 1 0 1 0,0 1 1 1 0
77,A002378_a4,A002378_a4_shuf,S3,oeis_core,4,51,9234076969134924494,f117461a2995dd79,f117461a2995dd79,0 2 2 0 0,2 2 2 2 2
78,A003484_a4,A003484_a4_shuf,S3,oeis_core,4,102,15835098099326066756,6dc244a672de3eb8,6dc244a672de3eb8,1 2 1 0 1,0 2 2 2 1
79,A004011_a4,A004011_a4_shuf,S3,oeis_core,4,53,9177196728010055838,26ec66df3cbd259c,26ec66df3cbd259c,1 0 0 0 0,0 0 0 0 0
80,A004018_a2,A004018_a2_shuf,S3,oeis_core,2,102,1957849608788685825,99b44cce0a4a64d4,99b44cce0a4a64d4,1 0 0 0 0,0 0 0 0 0
81,A004159_a2,A004159_a2_shuf,S3,oeis_base,2,80,4640237965427640243,454ff3fb25266ff4,454ff3fb25266ff4,0 1 0 1 1,0 0 0 0 0
82,A005349_a4,A005349_a4_shuf,S3,oeis_base,4,61,4485962368501688974,0c3f4349a60ce87a,0c3f4349a60ce87a,1 2 3 0 1,2 2 1 2 3
83,A005811_a4,A005811_a4_shuf,S3,oeis_core,4,94,17168781147077466886,9589d2335b11ac1b,9589d2335b11ac1b,0 1 2 1 2,2 1 1 1 3
84,A006995_a2,A006995_a2_shuf,S3,oeis_base,2,58,5345121530479897512,e794ec3a2342d708,e794ec3a2342d708,0 1 1 1 1,1 1 1 1 1
85,A007090_a3,A007090_a3_shuf,S3,oeis_base,3,64,17966259255698853960,7ebc7b35ffd89e70,7ebc7b35ffd89e70,0 1 2 0 1,2 1 1 0 0
86,A007091_a4,A007091_a4_shuf,S3,oeis_base,4,66,12002869271837803860,7c01d5e2fcf82631,7c01d5e2fcf82631,0 1 2 3 0,3 0 2 3 1
87,A007092_a3,A007092_a3_shuf,S3,oeis_base,3,66,6390781428753843752,47b68046a6ffd631,47b68046a6ffd631,0 1 2 0 1,0 0 2 1 0
88,A007094_a4,A007094_a4_shuf,S3,oeis_base,4,74,6076837362942226068,e5e881c2a4140191,e5e881c2a4140191,0 1 2 3 0,0 2 2 0 1
89,A007095_a2,A007095_a2_shuf,S3,oeis_base,2,77,8129614510063425123,bfefcfde470f2135,bfefcfde470f2135,0 1 0 1 0,1 0 0 0 0
90,A007770_a3,A007770_a3_shuf,S3,oeis_base,3,54,18319953620714990048,9b2c94e6f424c52f,9b2c94e6f424c52f,1 1 1 1 1,2 0 2 1 2
91,A008277_a2,A008277_a2_shuf,S3,oeis_core,2,66,5883313010022665376,8830392dafd46134,8830392dafd46134,1 1 1 1 1,1 1 1 1 0
92,A008279_a5,A008279_a5_shuf,S3,oeis_core,5,55,2284919503757331780,7de77ea421b87d0f,7de77ea421b87d0f,1 1 1 1 2,1 0 4 1 1
93,A008292_a5,A008292_a5_shuf,S3,oeis_core,5,55,16910284056509023993,06dc11f317f48c47,06dc11f317f48c47,1 1 1 1 4,1 1 0 1 1
94,A011531_a3,A011531_a3_shuf,S3,oeis_base,3,53,12450883852347564957,a2d9f9fa9870372e,a2d9f9fa9870372e,1 1 2 0 1,1 0 1 0 2
95,A018252_a4,A018252_a4_shuf,S3,oeis_core,4,65,2333248971492298810,55e05adbe66c11c6,55e05adbe66c11c6,1 0 2 0 1,0 3 1 1 1
96,A020652_a7,A020652_a7_shuf,S3,oeis_core,7,97,17189949644323134550,0d5fd0fde0eaeca1,0d5fd0fde0eaeca1,1 1 2 1 3,4 2 1 6 2
97,A025487_a3,A025487_a3_shuf,S3,oeis_core,3,54,14518667429011101181,134f49baf8ec9ab8,134f49baf8ec9ab8,1 2 1 0 2,0 0 0 0 0
98,A027642_a3,A027642_a3_shuf,S3,oeis_core,3,62,17942988240437916853,a65bdbec9c1c86a1,a65bdbec9c1c86a1,1 2 0 1 0,1 0 1 1 0
99,A029447_a3,A029447_a3_shuf,S3,oeis_base,3,49,12565541945670522007,be6af18a02ae9cfa,be6af18a02ae9cfa,1 2 0 1 2,2 0 1 1 1
100,A029447_a4,A029447_a4_shuf,S3,oeis_base,4,49,1246253394036934376,ce803c69cbd1ef82,ce803c69cbd1ef82,1 2 3 0 1,0 3 0 0 2
101,A029518_a3,A029518_a3_shuf,S3,oeis_base,3,41,7415537078483881278,680a5268fc0edd99,680a5268fc0edd99,1 0 2 0 0,0 2 0 0 2
102,A031347_a4,A031347_a4_shuf,S3,oeis_base,4,87,8673188297864714100,09784eee816095a7,09784eee816095a7,0 1 2 3 0,2 0 0 1 2
103,A035327_a4,A035327_a4_shuf,S3,oeis_base,4,82,4274155164236098349,42ebf9f7dfde692c,42ebf9f7dfde692c,1 0 1 0 3,0 2 2 3 2
104,A036554_a4,A036554_a4_shuf,S3,oeis_base,4,59,5973341033846803138,8d8fd03d90991676,8d8fd03d90991676,2 2 0 2 2,2 0 2 2 2
105,A038567_a3,A038567_a3_shuf,S3,oeis_core,3,78,9254494380502364069,8ccb64b0b32ad9d3,8ccb64b0b32ad9d3,1 2 0 0 1,0 1 0 2 1
106,A038569_a2,A038569_a2_shuf,S3,oeis_core,2,94,12457957405367513066,fee2f65295641730,fee2f65295641730,1 0 1 1 1,1 0 1 1 1
107,A038618_a4,A038618_a4_shuf,S3,oeis_base,4,58,13883159693699491535,9e24a06cb512bf38,9e24a06cb512bf38,2 3 1 3 3,3 3 3 1 3
108,A043529_a4,A043529_a4_shuf,S3,oeis_base,4,91,14276645250542932397,cdaada54751185a8,cdaada54751185a8,1 1 2 1 2,2 2 1 2 2
109,A043537_a2,A043537_a2_shuf,S3,oeis_base,2,90,13570076792985529876,3af9a8e29fc9fac1,3af9a8e29fc9fac1,1 1 1 1 1,0 0 1 0 1
110,A044813_a3,A044813_a3_shuf,S3,oeis_base,3,59,3139415008304195188,0f701c6471421fc5,0f701c6471421fc5,1 0 1 0 1,0 2 2 1 1
111,A048724_a3,A048724_a3_shuf,S3,oeis_base,3,65,72684082870488340,22d1dc4777bdf220,22d1dc4777bdf220,0 0 0 2 0,2 0 0 0 0
112,A054055_a3,A054055_a3_shuf,S3,oeis_base,3,105,1232716847299444412,1a889b4c825a2bed,1a889b4c825a2bed,0 1 2 0 1,0 2 0 2 0
113,A054055_a4,A054055_a4_shuf,S3,oeis_base,4,105,2473174293518310987,bb0eec36d515cb9f,bb0eec36d515cb9f,0 1 2 3 0,1 2 1 2 0
114,A055012_a3,A055012_a3_shuf,S3,oeis_base,3,60,2797785686123834743,1ea88d4078d97f8e,1ea88d4078d97f8e,0 1 2 0 1,1 0 0 2 1
115,A056964_a2,A056964_a2_shuf,S3,oeis_base,2,65,14268247957849871591,f36cf43865a7b13d,f36cf43865a7b13d,0 0 0 0 0,0 0 0 0 1
116,A062028_a2,A062028_a2_shuf,S3,oeis_base,2,71,9001520156811026687,782307998c728372,782307998c728372,0 0 0 0 0,0 0 1 0 0
117,A062756_a3,A062756_a3_shuf,S3,oeis_base,3,105,7034357597695274627,8a8985ac74cc0265,8a8985ac74cc0265,0 1 0 1 2,1 2 1 2 1
118,A078972_a2,A078972_a2_shuf,S3,oeis_base,2,55,933042248447010967,c1c684138552ecac,c1c684138552ecac,0 0 1 0 0,1 1 1 1 0
119,A078972_a3,A078972_a3_shuf,S3,oeis_base,3,55,11603622334021706009,d73ac689d2aa7ba4,d73ac689d2aa7ba4,1 0 0 1 2,1 1 1 1 2
120,A091924_a4,A091924_a4_shuf,S3,oeis_base,4,49,4986494306289927158,a64aa7d5f9b61879,a64aa7d5f9b61879,2 3 1 3 1,3 3 3 3 1
121,A112798_a7,A112798_a7_shuf,S3,oeis_core,7,102,4546014195215541661,d44440ff72d2e264,d44440ff72d2e264,1 2 1 1 3,1 3 1 2 1
122,A175298_a2,A175298_a2_shuf,S3,oeis_base,2,73,1271171895888591833,7a220aaba4d98b98,7a220aaba4d98b98,0 1 1 1 1,1 1 1 1 1
123,A206913_a3,A206913_a3_shuf,S3,oeis_base,3,69,6473519006602309205,77971fa49b5255ee,77971fa49b5255ee,0 1 1 0 0,0 0 0 0 0
124,A206914_a3,A206914_a3_shuf,S3,oeis_base,3,68,15068097617755918335,400c9a083f96cec4,400c9a083f96cec4,0 1 0 0 2,0 0 0 1 1
125,A226898_a5,A226898_a5_shuf,S3,oeis_core,5,92,6301505804508848776,7a15cee16417f6c7,7a15cee16417f6c7,1 2 1 2 1,1 1 3 1 3
126,A233564_a3,A233564_a3_shuf,S3,oeis_base,3,62,1448939657992043556,e482ded690be6e44,e482ded690be6e44,0 1 2 1 2,0 2 0 2 1
127,A235394_a3,A235394_a3_shuf,S3,oeis_base,3,52,12525106918154348554,c6ab0c24d6fa98b1,c6ab0c24d6fa98b1,2 0 2 1 1,1 1 2 1 2
128,A235394_a4,A235394_a4_shuf,S3,oeis_base,4,52,14223061231604254592,d9bb86f09fece264,d9bb86f09fece264,2 3 1 3 1,3 3 2 1 3
129,A235395_a2,A235395_a2_shuf,S3,oeis_base,2,49,10740315640356250161,d7346644834fcd00,d7346644834fcd00,0 1 1 1 1,1 1 1 1 1
130,A246655_a3,A246655_a3_shuf,S3,oeis_core,3,61,6847369916188424781,4a5d4f6481ee01cd,4a5d4f6481ee01cd,2 0 1 2 1,2 2 1 1 1
131,A276086_a2,A276086_a2_shuf,S3,oeis_base,2,74,2250659168790095872,91686cc1ac792e1b,91686cc1ac792e1b,1 0 1 0 1,0 0 0 0 1
132,A385776_a2,A385776_a2_shuf,S3,oeis_base,2,41,6034978382560441416,7188092ab0e9249f,7188092ab0e9249f,0 1 1 1 1,1 1 1 1 1
133,tot3_0001,tot3_0001_shuf,S4,totalistic_3state,3,500,13178761144004872703,f64da1c142bddcd2,f64da1c142bddcd2,1 0 1 0 1,0 0 1 1 1
134,tot3_0006,tot3_0006_shuf,S4,totalistic_3state,3,500,9396393837612006588,c9f1baa9cf4a0d33,c9f1baa9cf4a0d33,1 2 0 0 0,0 0 0 0 0
135,tot3_0014,tot3_0014_shuf,S4,totalistic_3state,3,500,10737043504739290240,61a8bdf6de4f20fe,61a8bdf6de4f20fe,1 1 0 2 0,0 0 0 2 2
136,tot3_0023,tot3_0023_shuf,S4,totalistic_3state,3,500,5003392976229980263,61a8bdf6de4f20fe,61a8bdf6de4f20fe,1 1 0 2 0,2 2 2 0 0
137,tot3_0045,tot3_0045_shuf,S4,totalistic_3state,3,500,14910110750606822540,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
138,tot3_0051,tot3_0051_shuf,S4,totalistic_3state,3,500,5887504502566566568,c9f1baa9cf4a0d33,c9f1baa9cf4a0d33,1 2 0 0 0,0 0 0 0 0
139,tot3_0072,tot3_0072_shuf,S4,totalistic_3state,3,500,4920854072906878252,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
140,tot3_0104,tot3_0104_shuf,S4,totalistic_3state,3,500,10803656844103597531,dd9cf89c005dade7,dd9cf89c005dade7,1 1 0 2 1,0 0 2 2 0
141,tot3_0133,tot3_0133_shuf,S4,totalistic_3state,3,500,16843257396082697863,53184914dd838bee,53184914dd838bee,1 2 0 1 0,1 1 1 1 1
142,tot3_0135,tot3_0135_shuf,S4,totalistic_3state,3,500,13378950803591948851,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
143,tot3_0145,tot3_0145_shuf,S4,totalistic_3state,3,500,1984951215813299797,55b5b90fe0d7d971,55b5b90fe0d7d971,1 0 1 0 1,0 2 1 1 1
144,tot3_0146,tot3_0146_shuf,S4,totalistic_3state,3,500,11608795579376512480,55561c2560ae554b,55561c2560ae554b,1 0 2 1 2,2 2 0 2 2
145,tot3_0153,tot3_0153_shuf,S4,totalistic_3state,3,500,3446220582290852435,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
146,tot3_0156,tot3_0156_shuf,S4,totalistic_3state,3,500,18205054335770383598,33dbb2060d11ded2,33dbb2060d11ded2,1 1 2 0 0,0 0 1 0 0
147,tot3_0160,tot3_0160_shuf,S4,totalistic_3state,3,500,9733141760154671316,0f56a62d2662816a,0f56a62d2662816a,1 2 0 1 0,0 0 1 0 2
148,tot3_0176,tot3_0176_shuf,S4,totalistic_3state,3,500,5363926592827297416,f655a7ce27670ada,f655a7ce27670ada,1 1 0 2 2,1 1 2 2 2
149,tot3_0190,tot3_0190_shuf,S4,totalistic_3state,3,500,1636614863927681070,f20451d55ca74397,f20451d55ca74397,1 0 1 0 1,1 1 1 1 1
150,tot3_0205,tot3_0205_shuf,S4,totalistic_3state,3,500,17030182471417711576,53184914dd838bee,53184914dd838bee,1 2 0 1 1,1 1 1 1 1
151,tot3_0237,tot3_0237_shuf,S4,totalistic_3state,3,500,8873340793744636044,b88bb82a9b5df9a7,b88bb82a9b5df9a7,1 1 2 0 0,0 0 0 0 0
152,tot3_0244,tot3_0244_shuf,S4,totalistic_3state,3,500,12505030529718674043,f64da1c142bddcd2,f64da1c142bddcd2,1 0 1 0 1,1 1 1 1 1
153,tot3_0248,tot3_0248_shuf,S4,totalistic_3state,3,500,869611579097628130,61a8bdf6de4f20fe,61a8bdf6de4f20fe,1 1 0 2 0,0 2 0 2 2
154,tot3_0249,tot3_0249_shuf,S4,totalistic_3state,3,500,4353040004611942212,c9f1baa9cf4a0d33,c9f1baa9cf4a0d33,1 2 0 0 0,0 0 0 0 0
155,tot3_0254,tot3_0254_shuf,S4,totalistic_3state,3,500,6179252382931003665,feaa0c502845a21c,feaa0c502845a21c,1 0 2 0 2,0 2 0 1 0
156,tot3_0267,tot3_0267_shuf,S4,totalistic_3state,3,500,944419356431368857,c9f1baa9cf4a0d33,c9f1baa9cf4a0d33,1 2 0 0 0,0 0 0 0 0
157,tot3_0280,tot3_0280_shuf,S4,totalistic_3state,3,500,14410789182316562565,32589b87c33b18ad,32589b87c33b18ad,1 0 1 0 1,1 1 1 1 1
158,tot3_0288,tot3_0288_shuf,S4,totalistic_3state,3,500,2997063530475474751,2a043b69e9a3de6a,2a043b69e9a3de6a,1 0 0 0 0,0 0 0 0 0
159,tot3_0312,tot3_0312_shuf,S4,totalistic_3state,3,500,5976720971751700073,c9f1baa9cf4a0d33,c9f1baa9cf4a0d33,1 2 0 0 0,0 0 0 0 0
160,tot3_0314,tot3_0314_shuf,S4,totalistic_3state,3,500,13975005632899813873,8c12aba0e126600f,8c12aba0e126600f,1 2 0 2 0,0 2 2 2 0
